"Page / Area","Section","Source","Language","Before","Before Word Count","After","After Word Count","Reduction %","Flags","Max Sentence Before","Max Sentence After","Mixed-Language Density After"
"404","section-label","src/pages/NotFound.tsx","Neutral","00","1","00","1","0","No change needed","1","1","0%"
"404","section-label","src/pages/NotFound.tsx","EN","Signal not found","3","Signal not found","3","0","No change needed","3","3","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Content","1","Content","1","0","No change needed","1","1","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Blog posts - via Notion","4","Blog posts - via Notion","4","0","No change needed","4","4","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Write articles in the","4","Write articles in the","4","0","No change needed","4","4","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Blog Posts database","3","Blog Posts database","3","0","No change needed","3","3","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN",". Check","1",". Check","1","0","No change needed","1","1","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Published","1","Published","1","0","No change needed","1","1","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN",", then sync:","2",", then sync:","2","0","No change needed","2","2","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","npm run sync:notion","4","npm run sync:notion","4","0","No change needed","4","4","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Or sync + build in one step:","6","Or sync + build in one step:","6","0","No change needed","6","6","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","npm run sync:build","4","npm run sync:build","4","0","No change needed","4","4","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","New journey milestone","3","New journey milestone","3","0","No change needed","3","3","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","Mixed AR/EN","npm run milestone:new -- --id new-role --order 5 --title ""عنوان المحطة"" --org ""المؤسسة"" --type role","15","npm run milestone:new -- --id new-role --order 5 --title ""عنوان المحطة"" --org ""المؤسسة"" --type role","15","0","High mixed-language density","15","15","75%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","Then edit the generated file in","6","Then edit the generated file in","6","0","No change needed","6","6","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","src/content/journey/milestones/","1","src/content/journey/milestones/","1","0","No change needed","1","1","0%"
"Admin (development only)","General","src/pages/AdminNewArticle.tsx","EN","This page is only available in development.","7","This page is only available in development.","7","0","No change needed","7","7","0%"
"Article: الأتمتة الذكية تتعطل عند سؤال إداري واحد","Article body","src/content/blog/automation-single-question.ar.md","AR","بعد كشف الإجراء الحقيقي، يظهر سؤال لا تحلّه أي تقنية، وهو: من المسؤول عن النتيجة؟. في كثير من المؤسسات، الإجراء يمر عبر عدة جهات، لكن المسؤولية تبقى موزعة أو غير موجودة.. عندها لا تصبح الأتمتة حلاً، بل وسيلة لتسريع قرار غير محسوم.. في المشاريع التي تنجح، نبدأ بقرار إداري بسيط: جهة واحدة تملك الإجراء من بدايته إلى نهايته، وتُعرّف نقاط الانتقال بمعايير واضحة يمكن الرجوع إليها.. هذا ليس تعقيداً تنظيمياً، بل شرط أساسي لأي نظام يمكن الوثوق به ومحاسبته.. سؤالي لكم: عند تعثر الإجراءات، هل السبب غياب المسؤول الواضح، أم غياب معايير القرار، أم الاثنين معاً؟","99","بعد فهم الإجراء، يبقى سؤال لا تحله التقنية: من يملك النتيجة؟. قد يمر الإجراء عبر جهات عدة بينما تبقى المسؤولية موزعة.. عندها تسرّع الأتمتة قرارًا غير محسوم بدل أن تحل المشكلة.. يبدأ النجاح بمالك واحد للإجراء من البداية إلى النهاية، ومعايير واضحة لكل انتقال.. هذه ليست بيروقراطية؛ إنها شرط لنظام موثوق وقابل للمساءلة.. عندما يتعثر الإجراء، هل يغيب المالك، أم معيار القرار، أم كلاهما؟","66","33.3","Rewritten; Condensed; Long sentence (before); Repeated theme","26","13","0%"
"Article: الأتمتة الذكية تتعطل عند سؤال إداري واحد","excerpt","src/content/blog/automation-single-question.ar.md","AR","بعد كشف الإجراء الحقيقي، يظهر سؤال لا تحله أي تقنية: من المسؤول عن النتيجة؟","14","بعد فهم الإجراء، يبقى سؤال لا تحله التقنية: من يملك النتيجة؟","11","21.4","Rewritten; Condensed","14","11","0%"
"Article: الأتمتة الذكية تتعطل عند سؤال إداري واحد","readTime","src/content/blog/automation-single-question.ar.md","AR","٥ د","2","٥ د","2","0","No change needed","2","2","0%"
"Article: الأتمتة الذكية تتعطل عند سؤال إداري واحد","tag","src/content/blog/automation-single-question.ar.md","AR","قيادة تقنية","2","قيادة المنتج والهندسة","3","-50","Rewritten","2","3","0%"
"Article: الأتمتة الذكية تتعطل عند سؤال إداري واحد","title","src/content/blog/automation-single-question.ar.md","AR","الأتمتة الذكية تتعطل عند سؤال إداري واحد","7","الأتمتة الذكية تتعطل عند سؤال إداري واحد","7","0","No change needed","7","7","0%"
"Article: الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","Article body","src/content/blog/automation-where-to-start.ar.md","Mixed AR/EN","كلما دخلت مشروع أتمتة ذكية، يتكرر سؤال واحد: لم يعد ""أي تقنية نستخدم؟"" بل أصبح: ""ما الذي يحدث فعلاً؟"". على الورق، الإجراء واضح. لكن على الأرض، كل خطوة لها ظل: استثناء صغير، اتصال سريع، توقيع يُستعجل، ومسار غير مكتوب يعرفه الجميع ولا يذكره أحد.. هنا يظهر الدرس الذي لا يتبدّل مهما تغيّرت التقنيات: لا يمكن أتمتة ما لا نفهمه.. لهذا تبدأ أي مبادرة ناجحة من الأساس: كشف الإجراء الحقيقي كما يجري، ثم تحويله إلى مسار واضح قابل للقياس والتحكم قبل إدخال الأتمتة والذكاء الاصطناعي.. سؤال أخير: ما الذي يعرقل مشاريع الأتمتة أكثر في تجربتكم: غموض الإجراء، أم كثرة الاستثناءات، أم مقاومة التغيير؟","105","في كل مشروع أتمتة ذكية، يسبق اختيار التقنية سؤال أهم: ما الذي يحدث فعليًا؟. قد يبدو الإجراء واضحًا على الورق، بينما تخفي الممارسة استثناءات وموافقات ومسارات غير مكتوبة.. القاعدة بسيطة: لا يمكن أتمتة ما لا نفهمه.. تبدأ المبادرة الناجحة بكشف الإجراء الحقيقي، ثم تحويله إلى مسار واضح وقابل للقياس قبل إدخال الأتمتة أو AI.. ما العائق الأكبر في تجربتكم: غموض الإجراء، كثرة الاستثناءات، أم مقاومة التغيير؟","68","35.2","Rewritten; Condensed; Repeated theme","25","18","1.5%"
"Article: الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","excerpt","src/content/blog/automation-where-to-start.ar.md","AR","قبل اختيار التقنية، افهم الإجراء الحقيقي كما يجري على الأرض لأنك لا تستطيع أتمتة ما لا تفهمه.","17","قبل اختيار التقنية، افهم الإجراء كما يجري فعليًا؛ لا يمكنك أتمتة ما لا تفهمه.","15","11.8","Rewritten","17","9","0%"
"Article: الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","readTime","src/content/blog/automation-where-to-start.ar.md","AR","٧ د","2","٧ د","2","0","No change needed","2","2","0%"
"Article: الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","tag","src/content/blog/automation-where-to-start.ar.md","AR","أتمتة","1","أتمتة","1","0","No change needed","1","1","0%"
