"Page / Area","Section","Previous","Corrected","Rule"
"Home","Principles label","Principles","المبادئ","Editorial UI must be Arabic."
"Home","Principles title","What I Believe","ما أؤمن به","Editorial heading must be Arabic."
"Home","Principles introduction","How I lead, build, and evaluate intelligent systems.","المبادئ التي توجّه قيادتي وبنائي وتقييمي للأنظمة الذكية.","Narrative copy must be Arabic."
"Home","Belief 1","Technology should strengthen human judgment, not replace it.","يجب أن تعزّز التقنية حكم الإنسان، لا أن تستبدله.","Narrative copy must be Arabic."
"Home","Belief 2","Product and technology leadership turns complexity into clear decisions, ownership, and systems teams trust.","تحوّل قيادة Product & Technology التعقيد إلى قرارات واضحة، وملكية محددة، وأنظمة تثق بها الفرق.","Arabic narrative with the approved English industry term."
"Home","Belief 3","AI earns trust through evidence: it must be understandable, testable, and accountable.","تكتسب أنظمة AI الثقة بالدليل: أن تكون مفهومة، وقابلة للاختبار، وخاضعة للمساءلة.","Arabic narrative with the approved abbreviation."
"Home","Future cue","A principle for what comes next","مبدأ لما هو قادم","Editorial UI must be Arabic."
"Home","Future statement","The best way to predict the future is to create it.","أفضل طريقة للتنبؤ بالمستقبل هي أن نصنعه.","Narrative statement must be Arabic."
"Home","Professional proof label","Professional proof","الخبرة المهنية","Editorial UI must be Arabic."
"Journey","Section labels","Working themes / Operating principles / Professional proof / Selected path / Ideas in practice","محاور العمل / مبادئ العمل / أثر مهني / محطات مختارة / أفكار من الممارسة","Editorial labels must be Arabic."
"Blog","Archive label","Writing archive","أرشيف الكتابات","Editorial UI must be Arabic."
"Blog post","Closing label","Continue the conversation","تابع النقاش","Editorial UI must be Arabic."
"404","Status label","Signal not found","تعذر العثور على الصفحة","Editorial UI must be Arabic."
"Admin","Development helper","Content / Blog posts via Notion / New journey milestone / English instructions","إدارة المحتوى / مقالات المدونة عبر Notion / محطة جديدة في الرحلة / تعليمات عربية","Interface instructions must be Arabic; brands, commands, paths, and code remain English."
"Site-wide","Product & Technology","قيادة المنتج والتقنية and Product & Technology","Product & Technology","Use one fixed industry phrase."
"Site-wide","Software Engineering","هندسة البرمجيات and Software Engineering","Software Engineering","Use one fixed discipline name."
"Journey","Robotics Simulation","محاكاة الروبوتات and Robotics Simulation","Robotics Simulation","Use one fixed technical domain term."
"Journey","AI Governance","حوكمة AI and AI Governance","AI Governance","Use one fixed technical governance term."
"Article","Features","خصائص and Features","Features","Use the approved product term."
"Site-wide","AI and NLP","الذكاء الاصطناعي / معالجة اللغة الطبيعية / AI/NLP / AI وNLP","AI / NLP / AI وNLP","Use the approved abbreviations and Arabic conjunction."
